Date,Medication,sales person,Category,units_sold,Amount ($),Branch ID,Payment Method,Branch Name,Chicago District/Neighborhood,Population,Total Healthcare Centers,Median Income ($)
2022-01-02 0:00,VitalCure 3% 30 gm,Michael Carter,Antiseptic Cream,12,216.99,BR-01,Cash,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-02 0:00,Digehealth 30/5 mg,Ethan Ross,Digestive Enzyme,9,150.54,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-03 0:00,VitalCure 3% 30 gm,Grace Mitchell,Antiseptic Cream,4,65.36,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-03 0:00,Wellora 10 mg,Michael Carter,Allergy Pills,8,120.25,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-03 0:00,Healix 120 ml,Michael Carter,Cough Syrup,10,149.81,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-03 0:00,VitalCure 3% 30 gm,Sophia Brooks,Antiseptic Cream,6,98.94,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-03 0:00,Relivion 500 mg,Emily Harper,Pain Relief Tablets,7,99.76,BR-02,Insurance,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-04 0:00,Relivion 500 mg,Grace Mitchell,Pain Relief Tablets,4,72.75,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-04 0:00,Wellora 10 mg,Michael Carter,Allergy Pills,2,31.23,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-04 0:00,Relivion 500 mg,Michael Carter,Pain Relief Tablets,7,117.96,BR-01,Cash,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-04 0:00,Nisacure 0.9% 200ml,Sophia Brooks,Nasal Spray,3,52.23,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-04 0:00,Relivion 500 mg,Sophia Brooks,Pain Relief Tablets,4,62.08,BR-07,Insurance,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-04 0:00,Nisacure 0.9% 200ml,Sophia Brooks,Nasal Spray,15,269.99,BR-05,Insurance,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-04 0:00,Wellora 10 mg,Grace Mitchell,Allergy Pills,4,51.09,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-05 0:00,Wellora 10 mg,Michael Carter,Allergy Pills,4,51.39,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-05 0:00,Nisacure 0.9% 200ml,Ethan Ross,Nasal Spray,4,66.35,BR-03,Credit Card,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-05 0:00,Digehealth 30/5 mg,Emily Harper,Digestive Enzyme,15,261.82,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-05 0:00,Wellora 10 mg,Olivia Grant,Allergy Pills,10,161.75,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-05 0:00,ClearPath Health,Emily Harper,Eye Drops,17,247.43,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-05 0:00,Digehealth 30/5 mg,Emily Harper,Digestive Enzyme,11,198.96,BR-01,Credit Card,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-05 0:00,ClearPath Health,Emily Harper,Eye Drops,7,122.65,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-06 0:00,Wellora 10 mg,Olivia Grant,Allergy Pills,4,61.42,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-06 0:00,Nisacure 0.9% 200ml,Michael Carter,Nasal Spray,8,138.58,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-06 0:00,Nisacure 0.9% 200ml,Daniel Hayes,Nasal Spray,2,35.72,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-06 0:00,Digehealth 30/5 mg,Grace Mitchell,Digestive Enzyme,5,96.79,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-06 0:00,Nisacure 0.9% 200ml,Olivia Grant,Nasal Spray,10,180.35,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-06 0:00,Nisacure 0.9% 200ml,Ethan Ross,Nasal Spray,8,131.99,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-06 0:00,VitalCure 3% 30 gm,Olivia Grant,Antiseptic Cream,2,38.19,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-06 0:00,ClearPath Health,Grace Mitchell,Eye Drops,3,54.15,BR-02,Insurance,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-06 0:00,Nisacure 0.9% 200ml,Emily Harper,Nasal Spray,7,129.61,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-07 0:00,ClearPath Health,Emily Harper,Eye Drops,6,95.66,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-07 0:00,Wellora 10 mg,Emily Harper,Allergy Pills,12,134.44,BR-02,Insurance,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-07 0:00,VitalCure 3% 30 gm,Grace Mitchell,Antiseptic Cream,8,149.89,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-07 0:00,ClearPath Health,Sophia Brooks,Eye Drops,3,51.45,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-07 0:00,Wellora 10 mg,Sophia Brooks,Allergy Pills,7,106.15,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-07 0:00,Wellora 10 mg,Emily Harper,Allergy Pills,9,140.2,BR-01,Credit Card,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-07 0:00,Digehealth 30/5 mg,Olivia Grant,Digestive Enzyme,11,90.19,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-07 0:00,Digehealth 30/5 mg,Grace Mitchell,Digestive Enzyme,6,110.65,BR-01,Cash,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-07 0:00,Relivion 500 mg,Emily Harper,Pain Relief Tablets,18,320.32,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-07 0:00,ClearPath Health,Grace Mitchell,Eye Drops,10,220.07,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-07 0:00,ClearPath Health,Grace Mitchell,Eye Drops,7,122.07,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-07 0:00,ClearPath Health,Olivia Grant,Eye Drops,2,30.9,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-07 0:00,Nisacure 0.9% 200ml,Daniel Hayes,Nasal Spray,4,77.13,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-07 0:00,Relivion 500 mg,Sophia Brooks,Pain Relief Tablets,7,113.82,BR-01,Credit Card,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-07 0:00,Digehealth 30/5 mg,Sophia Brooks,Digestive Enzyme,7,141.46,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-07 0:00,VitalCure 3% 30 gm,Daniel Hayes,Antiseptic Cream,10,170.4,BR-06,Credit Card,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-07 0:00,Wellora 10 mg,Michael Carter,Allergy Pills,10,161.56,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-08 0:00,ClearPath Health,Grace Mitchell,Eye Drops,8,144.55,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-08 0:00,Healix 120 ml,Olivia Grant,Cough Syrup,3,41.01,BR-07,Credit Card,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-08 0:00,Relivion 500 mg,Michael Carter,Pain Relief Tablets,7,138.04,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-08 0:00,Healix 120 ml,Olivia Grant,Cough Syrup,16,392.8,BR-02,Insurance,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-08 0:00,Nisacure 0.9% 200ml,Daniel Hayes,Nasal Spray,4,62.52,BR-02,Insurance,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-08 0:00,Relivion 500 mg,Olivia Grant,Pain Relief Tablets,5,101,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-08 0:00,ClearPath Health,Sophia Brooks,Eye Drops,9,161.85,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-08 0:00,Relivion 500 mg,Emily Harper,Pain Relief Tablets,5,83.41,BR-06,Insurance,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-08 0:00,Nisacure 0.9% 200ml,Grace Mitchell,Nasal Spray,7,114.84,BR-07,Credit Card,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-08 0:00,VitalCure 3% 30 gm,Olivia Grant,Antiseptic Cream,4,63.58,BR-07,Insurance,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-08 0:00,Wellora 10 mg,Grace Mitchell,Allergy Pills,3,41.93,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-09 0:00,Relivion 500 mg,Olivia Grant,Pain Relief Tablets,4,63.22,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-09 0:00,Relivion 500 mg,Michael Carter,Pain Relief Tablets,10,173.14,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-09 0:00,Relivion 500 mg,Sophia Brooks,Pain Relief Tablets,12,210.18,BR-01,Cash,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-09 0:00,Relivion 500 mg,Sophia Brooks,Pain Relief Tablets,3,48.36,BR-07,Insurance,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-09 0:00,VitalCure 3% 30 gm,Daniel Hayes,Antiseptic Cream,5,86.17,BR-03,Credit Card,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-09 0:00,Relivion 500 mg,Daniel Hayes,Pain Relief Tablets,1,18.43,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-10 0:00,Nisacure 0.9% 200ml,Emily Harper,Nasal Spray,19,161.95,BR-01,Credit Card,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-10 0:00,Digehealth 30/5 mg,Olivia Grant,Digestive Enzyme,7,126.4,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-10 0:00,ClearPath Health,Sophia Brooks,Eye Drops,4,69.26,BR-02,Credit Card,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-10 0:00,Wellora 10 mg,Michael Carter,Allergy Pills,1,18.34,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-10 0:00,ClearPath Health,Ethan Ross,Eye Drops,8,130.28,BR-06,Cash,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-10 0:00,Healix 120 ml,Grace Mitchell,Cough Syrup,19,166.83,BR-06,Cash,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-10 0:00,ClearPath Health,Emily Harper,Eye Drops,12,211.4,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-11 0:00,VitalCure 3% 30 gm,Michael Carter,Antiseptic Cream,19,210.77,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-11 0:00,VitalCure 3% 30 gm,Emily Harper,Antiseptic Cream,9,143.49,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-11 0:00,Healix 120 ml,Emily Harper,Cough Syrup,6,94.69,BR-05,Insurance,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-11 0:00,Relivion 500 mg,Grace Mitchell,Pain Relief Tablets,11,183.54,BR-06,Credit Card,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-12 0:00,Healix 120 ml,Emily Harper,Cough Syrup,10,166.15,BR-02,Credit Card,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-12 0:00,Wellora 10 mg,Daniel Hayes,Allergy Pills,10,172.21,BR-06,Credit Card,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-12 0:00,Nisacure 0.9% 200ml,Ethan Ross,Nasal Spray,1,14.07,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-12 0:00,ClearPath Health,Michael Carter,Eye Drops,4,67.05,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-12 0:00,VitalCure 3% 30 gm,Grace Mitchell,Antiseptic Cream,18,268.55,BR-02,Credit Card,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-13 0:00,Digehealth 30/5 mg,Daniel Hayes,Digestive Enzyme,15,362.44,BR-01,Credit Card,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-13 0:00,Wellora 10 mg,Daniel Hayes,Allergy Pills,5,95.44,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-13 0:00,Digehealth 30/5 mg,Daniel Hayes,Digestive Enzyme,20,386.72,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-13 0:00,Nisacure 0.9% 200ml,Emily Harper,Nasal Spray,5,74.48,BR-03,Credit Card,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-13 0:00,Relivion 500 mg,Ethan Ross,Pain Relief Tablets,6,109.88,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-13 0:00,Wellora 10 mg,Sophia Brooks,Allergy Pills,3,49.22,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-13 0:00,Digehealth 30/5 mg,Daniel Hayes,Digestive Enzyme,8,148.29,BR-06,Credit Card,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-13 0:00,ClearPath Health,Sophia Brooks,Eye Drops,9,141.21,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-13 0:00,ClearPath Health,Michael Carter,Eye Drops,5,84.27,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-13 0:00,VitalCure 3% 30 gm,Olivia Grant,Antiseptic Cream,17,311.83,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-13 0:00,Wellora 10 mg,Michael Carter,Allergy Pills,8,122,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-13 0:00,VitalCure 3% 30 gm,Olivia Grant,Antiseptic Cream,3,51.2,BR-06,Cash,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-13 0:00,Digehealth 30/5 mg,Sophia Brooks,Digestive Enzyme,3,59.63,BR-07,Credit Card,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-14 0:00,Digehealth 30/5 mg,Daniel Hayes,Digestive Enzyme,1,20.59,BR-03,Credit Card,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-14 0:00,Wellora 10 mg,Emily Harper,Allergy Pills,6,108.4,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-14 0:00,Healix 120 ml,Olivia Grant,Cough Syrup,5,77.17,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-14 0:00,Nisacure 0.9% 200ml,Olivia Grant,Nasal Spray,3,51.37,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-14 0:00,Nisacure 0.9% 200ml,Sophia Brooks,Nasal Spray,13,289.57,BR-01,Cash,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-14 0:00,Digehealth 30/5 mg,Michael Carter,Digestive Enzyme,6,118.56,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-14 0:00,Healix 120 ml,Michael Carter,Cough Syrup,17,280.03,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-14 0:00,Healix 120 ml,Olivia Grant,Cough Syrup,6,103.2,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-14 0:00,Relivion 500 mg,Michael Carter,Pain Relief Tablets,20,312.08,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-15 0:00,Nisacure 0.9% 200ml,Daniel Hayes,Nasal Spray,3,53.01,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-15 0:00,Relivion 500 mg,Michael Carter,Pain Relief Tablets,6,120.13,BR-02,Credit Card,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-15 0:00,Nisacure 0.9% 200ml,Emily Harper,Nasal Spray,11,211.91,BR-01,Cash,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-15 0:00,ClearPath Health,Michael Carter,Eye Drops,4,65.23,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-15 0:00,ClearPath Health,Olivia Grant,Eye Drops,11,169.96,BR-01,Cash,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-15 0:00,ClearPath Health,Ethan Ross,Eye Drops,14,261.98,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-15 0:00,Relivion 500 mg,Sophia Brooks,Pain Relief Tablets,2,26.33,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-15 0:00,Healix 120 ml,Ethan Ross,Cough Syrup,2,34.05,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-15 0:00,Wellora 10 mg,Grace Mitchell,Allergy Pills,6,106.98,BR-07,Credit Card,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-15 0:00,Healix 120 ml,Daniel Hayes,Cough Syrup,2,35.37,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-16 0:00,ClearPath Health,Michael Carter,Eye Drops,3,27.98,BR-05,Insurance,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-16 0:00,Digehealth 30/5 mg,Grace Mitchell,Digestive Enzyme,5,83.6,BR-06,Credit Card,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-16 0:00,Nisacure 0.9% 200ml,Emily Harper,Nasal Spray,8,146.39,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-16 0:00,Relivion 500 mg,Ethan Ross,Pain Relief Tablets,6,109.96,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-16 0:00,Healix 120 ml,Ethan Ross,Cough Syrup,3,51.97,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-16 0:00,ClearPath Health,Daniel Hayes,Eye Drops,2,38.47,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-16 0:00,Healix 120 ml,Olivia Grant,Cough Syrup,5,72.44,BR-01,Credit Card,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-17 0:00,Digehealth 30/5 mg,Sophia Brooks,Digestive Enzyme,7,111.03,BR-02,Credit Card,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-17 0:00,Nisacure 0.9% 200ml,Ethan Ross,Nasal Spray,20,332.42,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-17 0:00,Digehealth 30/5 mg,Daniel Hayes,Digestive Enzyme,8,147.73,BR-07,Credit Card,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-17 0:00,VitalCure 3% 30 gm,Michael Carter,Antiseptic Cream,5,89.99,BR-06,Insurance,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-17 0:00,ClearPath Health,Ethan Ross,Eye Drops,3,51.09,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-17 0:00,Relivion 500 mg,Grace Mitchell,Pain Relief Tablets,6,93.44,BR-06,Credit Card,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-17 0:00,Healix 120 ml,Olivia Grant,Cough Syrup,2,29.58,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-18 0:00,Nisacure 0.9% 200ml,Ethan Ross,Nasal Spray,15,271.15,BR-06,Insurance,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-18 0:00,Nisacure 0.9% 200ml,Daniel Hayes,Nasal Spray,6,90.19,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-18 0:00,Wellora 10 mg,Ethan Ross,Allergy Pills,3,53.14,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-18 0:00,Wellora 10 mg,Sophia Brooks,Allergy Pills,4,57.69,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-18 0:00,ClearPath Health,Sophia Brooks,Eye Drops,7,120.33,BR-02,Cash,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-18 0:00,Digehealth 30/5 mg,Grace Mitchell,Digestive Enzyme,7,139.93,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-18 0:00,Relivion 500 mg,Emily Harper,Pain Relief Tablets,6,89.94,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-18 0:00,Nisacure 0.9% 200ml,Michael Carter,Nasal Spray,3,52.25,BR-04,Insurance,Westfield Pharmacy,Austin,96000,8,39400
2022-01-18 0:00,Digehealth 30/5 mg,Daniel Hayes,Digestive Enzyme,6,97.37,BR-04,Credit Card,Westfield Pharmacy,Austin,96000,8,39400
2022-01-18 0:00,ClearPath Health,Olivia Grant,Eye Drops,3,60.97,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-18 0:00,VitalCure 3% 30 gm,Daniel Hayes,Antiseptic Cream,12,192.16,BR-05,Cash,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-18 0:00,VitalCure 3% 30 gm,Ethan Ross,Antiseptic Cream,7,117.68,BR-03,Credit Card,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-18 0:00,ClearPath Health,Michael Carter,Eye Drops,2,33.09,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-19 0:00,Digehealth 30/5 mg,Emily Harper,Digestive Enzyme,11,224.04,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-19 0:00,Digehealth 30/5 mg,Ethan Ross,Digestive Enzyme,8,149.67,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-19 0:00,Wellora 10 mg,Emily Harper,Allergy Pills,2,34.9,BR-06,Insurance,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-19 0:00,Relivion 500 mg,Daniel Hayes,Pain Relief Tablets,8,143,BR-07,Insurance,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-19 0:00,VitalCure 3% 30 gm,Grace Mitchell,Antiseptic Cream,11,188.4,BR-05,Credit Card,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-19 0:00,Nisacure 0.9% 200ml,Daniel Hayes,Nasal Spray,2,32.67,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-19 0:00,Digehealth 30/5 mg,Emily Harper,Digestive Enzyme,4,71.82,BR-06,Cash,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-19 0:00,VitalCure 3% 30 gm,Olivia Grant,Antiseptic Cream,17,307.4,BR-07,Credit Card,MedTopical Pharmacy,Wicker Park / Logan Sq.,73000,9,78900
2022-01-19 0:00,Digehealth 30/5 mg,Grace Mitchell,Digestive Enzyme,6,103.81,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-19 0:00,Digehealth 30/5 mg,Olivia Grant,Digestive Enzyme,18,432,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-19 0:00,ClearPath Health,Michael Carter,Eye Drops,3,52.2,BR-05,Insurance,Dermacare Pharmacy,Lakeview,98000,13,84700
2022-01-19 0:00,Nisacure 0.9% 200ml,Emily Harper,Nasal Spray,10,152.09,BR-03,Insurance,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-19 0:00,VitalCure 3% 30 gm,Ethan Ross,Antiseptic Cream,11,166.42,BR-06,Cash,Skinhealth Pharmacy,Gold Coast,18000,5,121300
2022-01-19 0:00,Relivion 500 mg,Daniel Hayes,Pain Relief Tablets,13,218.24,BR-02,Credit Card,Northside Pharmacy,Lincoln Park,66000,11,96200
2022-01-20 0:00,ClearPath Health,Emily Harper,Eye Drops,6,105.37,BR-04,Cash,Westfield Pharmacy,Austin,96000,8,39400
2022-01-20 0:00,Wellora 10 mg,Ethan Ross,Allergy Pills,6,105.04,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-20 0:00,Nisacure 0.9% 200ml,Emily Harper,Nasal Spray,7,102,BR-03,Cash,Eastgate Pharmacy,Hyde Park,28000,6,61800
2022-01-20 0:00,Healix 120 ml,Michael Carter,Cough Syrup,7,115.69,BR-01,Insurance,Central Pharmacy,Loop / Near North Side,68000,14,88500
2022-01-20 0:00,Healix 120 ml,Sophia Brooks,Cough Syrup,3,55.16,BR-06,Cash,Skinhealth Pharmacy,Gold Coast,18000,5,121300
